Number,A parts,B parts,C parts,M parts,New SMILES
1,A1,B1,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O
2,A2,B1,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(=O)C1(O)C2O
3,A3,B1,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(O*)C1(O)C2O
4,A4,B1,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O*)C1(O)C2O
5,A5,B1,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1=CC(C)C(=O)C1(O)C2O
6,A1,B1,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O
7,A2,B1,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1CC(C)C(=O)C1(O)C2O
8,A3,B1,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1C=C(C)C(O*)C1(O)C2O
9,A4,B1,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1CC(C)C(O*)C1(O)C2O
10,A5,B1,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1=CC(C)C(=O)C1(O)C2O
11,A1,B1,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1C=C(C)C(=O)C1(O)C2O
12,A2,B1,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1CC(C)C(=O)C1(O)C2O
13,A3,B1,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1C=C(C)C(O*)C1(O)C2O
14,A4,B1,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1CC(C)C(O*)C1(O)C2O
15,A5,B1,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1=CC(C)C(=O)C1(O)C2O
16,A1,B1,C4,,*OCC12OC1C1C(O*)C(O)(C(=C)C)C(O*)C(C)C1(O)C1C=C(C)C(=O)C1(O)C2O
17,A2,B1,C4,,*OCC12OC1C1C(O*)C(O)(C(=C)C)C(O*)C(C)C1(O)C1CC(C)C(=O)C1(O)C2O
18,A3,B1,C4,,*OCC12OC1C1C(O*)C(O)(C(=C)C)C(O*)C(C)C1(O)C1C=C(C)C(O*)C1(O)C2O
19,A4,B1,C4,,*OCC12OC1C1C(O*)C(O)(C(=C)C)C(O*)C(C)C1(O)C1CC(C)C(O*)C1(O)C2O
20,A5,B1,C4,,*OCC12OC1C1C(O*)C(O)(C(=C)C)C(O*)C(C)C1(O)C1=CC(C)C(=O)C1(O)C2O
21,A1,B4,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2
22,A2,B4,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(=O)C1(O)C2
23,A3,B4,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(O*)C1(O)C2
24,A4,B4,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O*)C1(O)C2
25,A5,B4,C1,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)CC(C)C1(O4)C1=CC(C)C(=O)C1(O)C2
26,A1,B4,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2
27,A2,B4,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1CC(C)C(=O)C1(O)C2
28,A3,B4,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1C=C(C)C(O*)C1(O)C2
29,A4,B4,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1CC(C)C(O*)C1(O)C2
30,A5,B4,C2,,*OCC12OC1C1C3OC4(*)OC3(C(=C)C)C(O*)C(C)C1(O4)C1=CC(C)C(=O)C1(O)C2
31,A1,B4,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1C=C(C)C(=O)C1(O)C2
32,A2,B4,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1CC(C)C(=O)C1(O)C2
33,A3,B4,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1C=C(C)C(O*)C1(O)C2
34,A4,B4,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1CC(C)C(O*)C1(O)C2
35,A5,B4,C3,,*OCC12OC1C1C(O*)C(O)(C(=C)C)CC(C)C1(O)C1=CC(C)C(=O)C1(O)C2
36,A1,B4,C4,,*OCC12OC1C1C(O*)C(O)(C(=C)C)C(O*)C(C)C1(O)C1C=C(C)C(=O)C1(O)C2
37,A2,B4,C4,,*OCC12OC1C1C(O*)C(O)(C(=C)C)C(O*)C(C)C1(O)C1CC(C)C(=O)C1(O)C2
