row ID,row m/z,row retention time,20221207_Dac_C18_100MeOH_ddMS2.raw Peak area,20221221_Dat_C18_100MeOH_ddMS2.raw Peak area,20221207_Dau_C18_100MeOH_ddMS2.raw Peak area,20221105_Dax_100MeOH_ddMS2.raw Peak area,20221105_Dbh_100MeOH_ddMS2.raw Peak area,20240421_Ddepauperate_100MeOH_2_ddMS.raw Peak area,20221207_Dfe_C18_100MeOH_ddMS2.raw Peak area,20221207_Dgi_C18_100MeOH_ddMS2.raw Peak area,20221105_Dgr_100MeOH_ddMS2.raw Peak area,20240421_Dholosericea_100MeOH_ddMS.raw Peak area,20221105_DjeFt_100MeOH_2021Sample_ddMS2.raw Peak area,20240428_DjezoensisFlower_100MeOH_ddMS.raw Peak area,20240421_Dkiusiana_var_100MeOH_ddMS.raw Peak area,20230410_Dob_SepPak100MeOH_ddMS2.raw Peak area,20240428_DodoraFlower_100MeOH_ddMS.raw Peak area,20230410_Dols_SepPak100MeOH_ddMS2.raw Peak area,20230410_Dor_SepPak100MeOH_ddMS2.raw Peak area,20230410_Doss_SepPak100MeOH_ddMS2.raw Peak area,20221221_Dpa_C18_100MeOH_ddMS2.raw Peak area,20221105_Dpe_100MeOH_ddMS2.raw Peak area,20230413_Dpof_100MeOH_ddMS2.raw Peak area,20230413_Dpol_100MeOH_ddMS2.raw Peak area,20230413_DpoS_100MeOH_ddMS2.raw Peak area,20240428_DpseudomezereumFlower_100MeOH_ddMS.raw Peak area,20221105_DpsFt_100MeOH_2021Sample_ddMS2.raw Peak area,20221221_Dre_C18_100MeOH_ddMS2.raw Peak area,20221105_Dta_100MeOH_ddMS2.raw Peak area,20221207_Dyu_C18_100MeOH_ddMS2.raw Peak area,20240421_Ealbuflora_100MeOH_ddMS.raw Peak area,20240428_EchrysanthaBud_100MeOH_ddMS.raw Peak area,20230528_Ech_100MeOH_ddMS2.raw Peak area,20240706_Ecft_AcOEtSepPackC18_100MeOH_ddMS.raw Peak area,20240428_EchrysanthaLeaf_100MeOH_ddMS.raw Peak area,20240428_EchrysanthaStem_100MeOH_ddMS.raw Peak area,20230528_Ega_100MeOH_ddMS2.raw Peak area,20230528_Sch_100MeOH_ddMS2.raw Peak area,20230217_Wal100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wca100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20240421_Wdelavayi_100MeOH_ddMS.raw Peak area,20230217_Wdo100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wil100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wis100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wla100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wle100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wli100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wlr100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20240421_Wlungtzeensi_100MeOH_ddMS.raw Peak area,20240421_Wmicrantha_100MeOH_ddMS.raw Peak area,20230528_Wnu2_100MeOH_ddMS2.raw Peak area,20230217_Wpa100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wpi100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wsc100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wst100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20240421_Wtrichotoma_100MeOH_ddMS.raw Peak area,20240428_DgenkwaFlower_100MeOH_ddMS.raw Peak area,20221207_Dge_C18_100MeOH_ddMS2.raw Peak area
1,485.2178426,4.892262153,1.18E+09,8077706.983,0,0,0,0,0,2.91E+08,2811520.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577484.566,0,1.42E+08,8434943.947,0,0,0,0,0,0,0,0,1647552.3,0,1132951.763,0,0,0,2628960.035,1018729.34,4.44E+07,1512905.199,0,0,0,0,0,1.44E+07,0,0,0,3156628.204
2,543.2221985,4.4936056,4.10E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,301.0709084,2.658751544,4.71E+08,0,2.35E+09,0,0,0,1.08E+07,1.05E+07,3739787.691,0,0,0,0,0,0,0,0,0,1.24E+07,8.65E+07,0,0,0,0,0,0,3130634.926,1.14E+08,0,0,3337039.142,0,0,0,0,6129331.864,0,0,0,0,0,0,0,3419121.044,1.90E+07,6915246.574,0,0,2614221.546,0,0,0,5672346.163,0,9.68E+07,1.20E+07
4,543.1288127,2.117164987,5.81E+08,2.26E+07,3.63E+08,0,4.44E+07,0,1.22E+07,0,0,6226000.376,0,0,0,0,0,0,0,0,0,4.12E+07,0,0,0,0,0,0,7.42E+07,1.29E+09,0,0,0,0,0,0,0,0,0,1.89E+09,0,0,0,0,315161.6173,0,0,0,0,8799609.234,0,4.16E+08,1.44E+08,0,0,0,0,8.76E+07
5,593.2751541,13.10599175,2.83E+08,0,0,0,0,0,0,0,0,0,0,0,1.14E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E+08,0,0,0,0,0,0,0,0,0,0,4.34E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,635.3209678,12.09279468,2.79E+08,2.26E+07,0,0,5.87E+07,1.71E+07,5161314.605,0,2.50E+08,0,2510043.918,0,0,4007421.616,0,0,3.15E+07,0,6.18E+08,0,0,0,0,0,0,2.99E+08,8.01E+08,0,0,0,1.84E+07,0,0,0,9091052.55,0,0,0,0,0,0,0,0,8.36E+07,4089469.85,1.11E+07,0,0,0,0,0,0,0,0,7456695.284,2.77E+07
7,954.6154458,14.65229621,2.34E+08,1.86E+07,3.49E+07,2.55E+08,7.88E+07,0,3.03E+08,6894698.124,5.06E+08,0,1.14E+07,0,0,0,0,0,0,0,1.57E+08,0,0,0,5035333.761,0,6.77E+07,1.62E+08,9.55E+07,3.30E+08,0,0,1.54E+07,3.19E+07,0,0,1.72E+07,0,3.84E+07,1.06E+08,0,1.20E+08,0,0,1.43E+07,2.01E+07,1.55E+07,0,0,5961704.624,0,0,0,0,2.38E+07,4947151.419,0,7.14E+07
8,501.2118454,2.50148955,1.17E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,605.2379303,7.0064192,8.44E+07,0,0,0,0,0,0,1.26E+07,0,0,1.25E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,959.5705237,14.6632468,1.21E+08,1.13E+07,1.92E+07,1.32E+08,4.67E+07,0,1.44E+08,0,2.11E+08,0,7922146.372,0,0,0,0,0,0,0,7.64E+07,0,0,0,0,0,4.60E+07,6.86E+07,5.10E+07,1.56E+08,0,0,0,0,0,0,6250528.703,0,2.00E+07,5.69E+07,0,6.35E+07,0,0,8035863.278,1.42E+07,9240869.217,3818458.012,0,0,0,1.11E+07,4203704.398,0,1.48E+07,0,0,3.79E+07
